o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment,c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_comment
774,796,O,214484.43,1995-12-04,1-URGENT,Clerk#000000883,0,are above the blithel,796,Customer#000000796,URPHVaGXHhIRGMNUe,3,13-554-411-6773,2584.23,HOUSEHOLD,ns integrate about the slyly expres
839,280,O,109349.68,1995-08-08,1-URGENT,Clerk#000000951,0," blithely ironic dolphins maintain regular, regula",280,Customer#000000280,"YLnIkFdUWmE,MI",11,21-537-461-3965,3952.84,BUILDING,yly quickly ruthless accounts. unusual deposits solve furiously across the requests. carefull
934,514,O,18262.86,1996-07-03,1-URGENT,Clerk#000000229,0,nt pinto beans cajole slyly blithely careful fre,514,Customer#000000514,0BnUdwBXykYaAoASAw9qt7UdSg,23,33-194-775-6756,5840.97,BUILDING,cording to the requests. carefully express pinto beans must wake slyly across the platelets. furiously unusu
996,710,O,71877.3,1997-12-29,1-URGENT,Clerk#000000497,0, after the unusual requests run about the blithely pending ideas,710,Customer#000000710,"dof81y3vZqngrdfxFCLeHxg02eM0PhoW,Q",22,32-459-427-9559,7412.12,FURNITURE,quickly even requests. pending pa
1056,275,F,41838.38,1995-02-11,1-URGENT,Clerk#000000125,0,"frets. ironic, ironic dolphins until the furiou",275,Customer#000000275,fZ6o7h 1fcL8t ,22,32-194-864-6861,5067.31,AUTOMOBILE,"he thin, ironic accounts doze among the pinto beans! final esc"
1057,760,F,176625.96,1992-02-20,1-URGENT,Clerk#000000124,0,ely carefully bold deposits. furiously even theodolites sleep. carefully,760,Customer#000000760,IBSn2iTkba9nao,2,12-176-116-3113,2883.24,BUILDING,"riously ironic, regular deposits. slyly final requests serve furiou"
1091,829,O,48591.79,1996-08-27,1-URGENT,Clerk#000000549,0,slyly special grouches. slyly ironic foxes engage. fu,829,Customer#000000829,"XCJyXMUW14rZ0qoQpbRneuHHk,oPiAdog",8,18-404-707-6095,4086.56,MACHINERY,t ruthlessly about the accounts. pending packages around the ironic foxes caj
1154,352,F,264213.46,1992-02-15,1-URGENT,Clerk#000000268,0,ages affix furiously blithely regular requests. pending pinto beans thrash ,352,Customer#000000352,"kAJimWk97g0Oly4Ch6ame6WQQ,PvNz7pm4yt6v",9,19-906-158-8420,6257.88,HOUSEHOLD,ounts. carefully ironic excuses sleep against the even dependencies. silent pinto bean
1189,445,F,90219.24,1994-04-09,1-URGENT,Clerk#000000243,0,ays. quickly final ideas are fluffily along the express requests,445,Customer#000000445,f3Z6q0h6hsjkt4esBYJPgKVNoC5fvzTgdOvnzb,20,30-849-846-6070,8018.81,FURNITURE,pecial accounts. foxes wake packages. carefully special requests haggle furio
1220,485,O,164363.11,1996-08-29,1-URGENT,Clerk#000000712,0,ns according to the blithely express requests boost fur,485,Customer#000000485,4MlPw4oa0h,19,29-434-961-1623,8695.45,MACHINERY,blithely silent requests eat slyly with the blithely
1248,472,F,295111.15,1992-01-02,1-URGENT,Clerk#000000890,0," regular platelets along the even,",472,Customer#000000472,K4KLD E7qmduReACST2vtyk KgfAdGIebJW,12,22-940-478-1933,7929.9,MACHINERY,ves. furiously unusual packages haggle slyly above t
1251,379,O,168646.06,1997-10-30,1-URGENT,Clerk#000000276,0,ruthlessly. quickly ironic excuses haggle a,379,Customer#000000379,zXasoM0AZdQzJEHdi62,7,17-228-550-9246,5348.11,AUTOMOBILE,as against the furiously express deposits. regular requests cajole. final requests sleep platelets. s
1254,698,O,143889.73,1995-12-22,1-URGENT,Clerk#000000607,0,ular ideas nag quickly boldly even depo,698,Customer#000000698,mf1YdlVBgjCbyqJ,23,33-282-178-6799,2894.22,BUILDING,onic somas are up the even deposits. ironic dependencies among the b
1281,611,F,226132.4,1994-12-11,1-URGENT,Clerk#000000430,0,inal pinto beans cajole after the silen,611,Customer#000000611,nZNy4ljmTdAfLD8hfbl6,19,29-924-242-5243,4272.43,HOUSEHOLD,ckly daring waters cajole carefully. pending deposits maintain carefully. quickly regula
1316,160,F,232915.54,1993-12-03,1-URGENT,Clerk#000000857,0,. regular packages eat blithely alongsid,160,Customer#000000160,WzC5aYNco9q4p8,13,23-428-666-4806,4363.17,MACHINERY, theodolites cajole blithely dogged Tiresias. f
1349,637,O,49656.84,1997-10-26,1-URGENT,Clerk#000000543,0,after the furiously silent foxes. deposits sleep quiet,637,Customer#000000637,ntTKWBYCjrbZwz,7,17-983-923-8985,7511.17,HOUSEHOLD,ckages cajole carefully pending pinto beans-- slyly pending dependencies are furiously: excuses boo
1350,508,F,71653.64,1993-08-24,1-URGENT,Clerk#000000635,0, requests. final foxes after the pe,508,Customer#000000508,BR5ARsD7 6xu,18,28-344-250-3166,1685.9,BUILDING,"en courts. carefully final packages sleep against the slyly regular pinto beans. final, final accounts detect qu"
1414,763,O,50012.42,1995-08-16,1-URGENT,Clerk#000000883,0,carefully pending foxes wake car,763,Customer#000000763,roe GQOLXQZhXQCQ5mE6WJkDjyO,1,11-232-719-3610,2650.27,BUILDING," accounts are across the regular, regular orbits. silent epitaphs haggle s"
1474,691,F,69600.97,1995-01-09,1-URGENT,Clerk#000000438,0,ully furiously final requests. always ev,691,Customer#000000691,0aGn3Vcf6ZKi82ogENfnso,16,26-741-688-4189,9566.15,MACHINERY,ven packages cajole fluffily fluffily unusual frays. ironic excuses sleep furiously. regular
1541,940,P,72808.67,1995-05-18,1-URGENT,Clerk#000000906,0,"nusual accounts among the even, special asymptotes s",940,Customer#000000940,8T9c3q3NQH90wGvuX5xoTvdwq,19,29-958-573-1004,253.59,AUTOMOBILE,its serve stealthily alongside of the unusual packages. slyly bold sentiments wake. bold foxes are slyly
1543,503,O,221716.54,1997-02-20,1-URGENT,Clerk#000000398,0, the forges boost af,503,Customer#000000503,Uuof2lfoBl70yChqibi iPfixgCGSZKriugsQMV1,20,30-441-755-3094,3213.66,MACHINERY,leep. slyly quick accounts are. a
1634,689,O,202866.17,1996-09-10,1-URGENT,Clerk#000000360,0,as detect blithely above the blithely special courts. furiously express,689,Customer#000000689,"lOIMRb04OUi,awgPMLALGQHHczc5OJEuApDS",24,34-325-146-3591,1481.24,MACHINERY,slyly regular packages. blithely regular deposits wake a
1664,640,O,229693.92,1996-03-03,1-URGENT,Clerk#000000090,0,"ake after the blithely special foxes. pending, ironic requests thrash sl",640,Customer#000000640,IXwH 0sD0BilkWKjcyo,2,12-702-315-6637,3025.84,HOUSEHOLD,. thin warthogs are furiously among the regular asymptotes. quickly f
1666,941,O,187461.04,1995-10-18,1-URGENT,Clerk#000000849,0," accounts. blithely even braids are among the pending, ironic pack",941,Customer#000000941,ZRTvRU6KcLC5XBwZaDIh74pgA0q9BORvcLBI,19,29-745-875-1061,2990.18,FURNITURE,n deposits cajole across the furiously even sauternes. slyly express dependencies cajole slyly about t
1697,758,O,173054.7,1996-10-07,1-URGENT,Clerk#000000815,0,ccounts. furiously u,758,Customer#000000758,"TLhf3M8V1xC,kaXvpgfXNqora",17,27-175-799-9168,6352.14,HOUSEHOLD, wake fluffily regular foxes. slyly ironic de
1699,835,F,87704.83,1993-12-30,1-URGENT,Clerk#000000125,0,"ic, unusual instructions af",835,Customer#000000835,"9HAzWZHJZZ,",21,31-700-242-6347,2106.81,BUILDING,express accounts. blithely special requests alongside of the packages cajole sly excuses. quickly silent dependenci
1764,283,F,68855.7,1992-03-25,1-URGENT,Clerk#000000182,0,"ainst the special, furious foxes. bold, ironic ",283,Customer#000000283,Itzjny7g6g3mHNpKyirfB7yy7CrTIYHwuZrdXq,7,17-111-303-1282,4450.03,AUTOMOBILE,ove the packages are furiously slyly final packages. requests across the foxes use fluffily bold instru
1798,517,O,45519.51,1997-07-28,1-URGENT,Clerk#000000741,0,ongside of the furi,517,Customer#000000517,F8CVMjSlWmVgKFUYD4y6TWwLtbHcpKXt,10,20-475-741-4234,3959.71,FURNITURE,nst the carefully even theodolites haggle furiously acco
1824,482,F,107580.47,1994-05-05,1-URGENT,Clerk#000000972,0,r the furiously iro,482,Customer#000000482,"YSR9KeozE57gI9zHE aaFR,uushIiude,",13,23-732-448-1610,4333.37,HOUSEHOLD,"lly above the final, final packages. furiously regular dolphins nag. carefully regular deposits cajole carefully ag"
1831,706,F,83108.48,1993-12-02,1-URGENT,Clerk#000000854,0, ironic deposits. fluffily final pinto beans are slyly slyly regular pinto,706,Customer#000000706,uOutzlnx4jeRSl8XF1YCQ7R1be94Hh8zjPa4wI,19,29-468-275-6045,6496.08,AUTOMOBILE,hely final requests must boost at the furiously express instructions. 
1889,244,O,128067.39,1997-03-16,1-URGENT,Clerk#000000854,0,kages according to the furiously even theodolit,244,Customer#000000244,mp5PoCm5QlRbSgCLAacY6x3M5v,15,25-621-225-8173,2506.38,HOUSEHOLD,egrate slyly along the blithely final requests. regular de
1894,751,F,65789.57,1992-03-30,1-URGENT,Clerk#000000626,0, slyly on the carefully pending foxes. furiously silent instructions detect.,751,Customer#000000751,Nrc8 AMkUzvTFZyYvqKSyZZn4HrnrR,0,10-658-550-2257,2130.98,FURNITURE,"riously special theodolites boost ironic theodolites-- unusual, ironic accounts cajole ironic instructions: "
1925,167,F,192587.39,1992-03-05,1-URGENT,Clerk#000000986,0,"side of the express, regular account",167,Customer#000000167,bdOYMdF9isgUHByKvKnxqSUUxpi6bId3,5,15-288-395-5501,1468.09,AUTOMOBILE,pecial pinto beans are blithely slyly regular realms. slyly special depe
1955,121,F,132951.01,1992-04-20,1-URGENT,Clerk#000000792,0, the slyly unusual asymptotes. iro,121,Customer#000000121,zwrDoaY2gxCkdTXFaxNc,17,27-411-990-2959,6428.32,BUILDING,"he unusual, unusual deposits nag quickly instructions. slyly "
1984,508,O,123878.05,1998-04-01,1-URGENT,Clerk#000000416,0,". final, regular packages wake slyly. ironic, bold accounts sleep blithely tow",508,Customer#000000508,BR5ARsD7 6xu,18,28-344-250-3166,1685.9,BUILDING,"en courts. carefully final packages sleep against the slyly regular pinto beans. final, final accounts detect qu"
2021,700,O,41487.67,1995-07-15,1-URGENT,Clerk#000000155,0,"to beans use against the special, regular epitaphs. final instructions ar",700,Customer#000000700,tt4wI18kO0z37Fz,0,10-351-119-7514,4367.53,MACHINERY,along the quickly pending orbits are blithely according to the slyly unusual grouches. e
2022,619,F,319320.43,1992-03-15,1-URGENT,Clerk#000000268,0, ironic dolphins cajole after the blithely special dependencies. b,619,Customer#000000619,VPu dvaqrCNzTOeRYX9rWFnEidi97JxN,24,34-245-618-6317,2336.99,FURNITURE, packages haggle quickly regular exc
2048,169,F,43446.23,1993-11-15,1-URGENT,Clerk#000000934,0,"ages. special, ironic deposits according to t",169,Customer#000000169,eHJEjRTu OIm,18,28-362-499-3728,4483.83,FURNITURE,"lithely bold accounts sleep regular, bold ideas. quickly blithe theodolites detect alongside of the qu"
2055,970,F,70155.57,1993-09-04,1-URGENT,Clerk#000000067,0,"e the unusual, final waters. slyly final requests nag fluf",970,Customer#000000970,"o3mKsUhj8l5W,Z",14,24-266-486-1615,3623.6,MACHINERY,ecial deposits nag carefully furiously
2116,223,F,79971.53,1994-08-26,1-URGENT,Clerk#000000197,0,special ideas. furiously regular sauterne,223,Customer#000000223,MyQxUcG0P QCetmG00GlF,20,30-193-643-1517,7476.2,BUILDING,"xcuses. silent theodolites across the carefully bold excuses sleep ironic, final courts. regular excuses"
2340,646,O,47690.57,1996-01-12,1-URGENT,Clerk#000000964,0,", pending requests was. furiously special requests haggle ironic, ironic a",646,Customer#000000646,"LCKiSHvMnrZjU600,FPiC,646wFH8xN0g9Op",2,12-177-329-4316,6074.42,HOUSEHOLD,e furiously across the unusual theodolites. slyly unusual packages wake. slyly bold pi
2342,365,O,139380.41,1996-06-09,1-URGENT,Clerk#000000615,0, special deposits according to the unusual pinto beans wake ,365,Customer#000000365,bI19sstZu6,24,34-708-696-5226,737.03,HOUSEHOLD,"nding accounts. regular, bold ideas believe about the slyl"
2368,130,F,130017.09,1993-08-20,1-URGENT,Clerk#000000830,0," above the bold, regular foxes are against ",130,Customer#000000130,"agbuYdL1t,6DrSvl41TlZmqwEfc9FZHSIj",9,19-190-993-9281,5073.58,HOUSEHOLD,nticing deposits poach slyly carefully close instructions. fluffily regular packages haggle slyl
2465,325,O,253098.4,1995-06-24,1-URGENT,Clerk#000000078,0,e. careful dependencies are fluffily. final Tires,325,Customer#000000325,2riWXxFXyQYI2EH4dQ8esNUbMZWIPHKNwb8J,15,25-823-702-9630,2377.34,HOUSEHOLD,nstructions. silent packages haggle ca
2466,181,F,221482.78,1994-03-06,1-URGENT,Clerk#000000424,0,hely final accounts. blithely special theodolites cajole final packages. expr,181,Customer#000000181,"3dwI4Or4 9H1w8v,cuiMwpA",9,19-653-305-8440,3929.96,FURNITURE,ans unwind slyly against the dinos. 
2497,470,F,236003.51,1992-08-27,1-URGENT,Clerk#000000977,0,yly enticing asymptotes. blithely regular instructions among the,470,Customer#000000470,xRrK49xbW4AcHdhaKthyIPdooKaem,20,30-507-458-4433,3597.53,HOUSEHOLD,blithely thin excuses. fluffily pending packages sleep carefully
2528,550,F,140496.46,1994-11-20,1-URGENT,Clerk#000000789,0,inal dependencies about the quickly ironic accounts boost slyl,550,Customer#000000550,BVrKgwOTbpbctN0k,17,27-938-997-6262,7270.82,FURNITURE,uests: fluffily regular deposits wake carefully. unusual platelet
2533,496,O,248797.75,1997-03-24,1-URGENT,Clerk#000000594,0,integrate furiously even,496,Customer#000000496,3SC2fGjEMU2WLmsH7x,12,22-173-644-7922,8174.82,MACHINERY,ic deposits. blithely unusual requests are across the enticingly express accounts. pinto beans wak
2561,572,O,180170.5,1997-11-14,1-URGENT,Clerk#000000861,0,inal accounts after the even accounts are blithely even tithes. slyly pendin,572,Customer#000000572,eLW2AQWRpAlGsEEzLU,11,21-425-209-5033,7252.65,AUTOMOBILE,cies haggle furiously furiously silent packages. furi
2562,82,F,196430.96,1992-08-01,1-URGENT,Clerk#000000467,0,theodolites cajole blithely slyly even ac,82,Customer#000000082,tJkXm2PQBWPRRYkIXPg0YdM03E,18,28-159-442-5305,9468.34,AUTOMOBILE,old requests. slyly bold courts sleep carefully packag
2594,776,F,118325.94,1992-12-17,1-URGENT,Clerk#000000550,0,lyly at the slyly quick deposits. permanently final deposits ar,776,Customer#000000776,AsJi8z9jzI5COUg1TtwX3eA5NAs,15,25-941-650-8313,2669.01,AUTOMOBILE,lthily express asymptotes haggle furiously about the packages. furiously special realms sleep fluffily a
2596,424,O,93640.14,1996-08-17,1-URGENT,Clerk#000000242,0, blithely even dolphins sleep furiousl,424,Customer#000000424,JWOLXHE9mRjh 0Oy0Z,19,29-891-311-6778,1866.42,HOUSEHOLD,"carefully. ironic, ironic instructions nag across the "
2656,766,F,119993.15,1993-05-04,1-URGENT,Clerk#000000307,0,l packages are slyly spe,766,Customer#000000766,tk7jUy4gCavim,16,26-283-847-8946,4677.55,BUILDING,ke carefully among the regular requests. furiously regular deposits are carefully above the unusual accounts. s
2663,941,O,35825.35,1995-09-06,1-URGENT,Clerk#000000950,0, pinto beans. furiously ironic requests use slyly regular gi,941,Customer#000000941,ZRTvRU6KcLC5XBwZaDIh74pgA0q9BORvcLBI,19,29-745-875-1061,2990.18,FURNITURE,n deposits cajole across the furiously even sauternes. slyly express dependencies cajole slyly about t
2693,172,O,64546.06,1996-09-04,1-URGENT,Clerk#000000370,0,posits according to the quiet pinto beans nag quickly according to the car,172,Customer#000000172,"hvKNg7fZkY5QOzeelV,t4",22,32-178-964-1847,1134.4,MACHINERY,y final asymptotes detect quickly acro
2695,563,O,204229.27,1996-08-20,1-URGENT,Clerk#000000697,0,"pending accounts hinder regular, regular pack",563,Customer#000000563,Z98oZLTO5N1HYXjyzNGJOokEIJm,12,22-544-152-1215,3231.71,FURNITURE,accounts boost according to the carefully regular foxes. carefully even
2720,301,F,173898.68,1993-06-08,1-URGENT,Clerk#000000948,0, dependencies. final accounts above the furiou,301,Customer#000000301,mylARpKKV6rs6f,7,17-265-345-9265,9305.05,HOUSEHOLD,braids can detect. furiously brave packages boost. slyly regul
2784,943,O,153115.55,1998-01-07,1-URGENT,Clerk#000000540,0,lar instructions wake carefully regular ideas,943,Customer#000000943,UWNp9lcgflnamAoLjYuS5kfRyyPyKhrPjx,5,15-483-251-8603,7541.05,FURNITURE,usly carefully unusual theodolites. even deposits instead of the slyly special ideas sleep special requests. 
2848,689,F,165694.9,1992-03-10,1-URGENT,Clerk#000000256,0,ntil the final packages. blithely regular dependencie,689,Customer#000000689,"lOIMRb04OUi,awgPMLALGQHHczc5OJEuApDS",24,34-325-146-3591,1481.24,MACHINERY,slyly regular packages. blithely regular deposits wake a
2852,892,F,144902.15,1993-01-16,1-URGENT,Clerk#000000740,0, of the furiously express pinto beans. idly regular theodolites,892,Customer#000000892,"ergvIaqviGVgfR4iUwy,l",9,19-589-784-1249,4799.98,FURNITURE,es sleep sometimes furiously regular accounts. slyly ironic instructions could have to nag
2947,697,P,53117.45,1995-04-26,1-URGENT,Clerk#000000464,0,e packages. warhorses alongside of the r,697,Customer#000000697,glvNkp762nND1kCrR,4,14-613-651-2263,8121.84,AUTOMOBILE,ithely thin deposits are busily among the special accounts. slyly quick packages integrate. fluffil
2983,613,F,83588.1,1992-01-07,1-URGENT,Clerk#000000278,0,he furiously unusual accounts are quickly carefully bold,613,Customer#000000613,rh70YV9PQD8NmjcqK74K,4,14-275-416-1669,6679.75,AUTOMOBILE,ly even deposits nag across the 
3009,544,O,155804.55,1997-02-28,1-URGENT,Clerk#000000205,0,riously regular packa,544,Customer#000000544,"iwTwOF0Cm0kmtuMH3gIQ,5VjZyBYX",5,15-572-651-1323,4974.68,AUTOMOBILE,"ts. ironic, final accounts according to the even accounts integrate carefully slyl"
3012,314,F,144301.93,1993-05-05,1-URGENT,Clerk#000000414,0,usly unusual dependencies about the fluffily final ,314,Customer#000000314,T0yN762k2C39QqgwkrUQohDQWpLHy0mRnnopY,13,23-366-243-4713,2394.92,MACHINERY,uests sleep fluffily even deposits. regular d
3045,499,O,146623.24,1995-09-27,1-URGENT,Clerk#000000405,0,nal frays wake. regular deposits hinder quickly. q,499,Customer#000000499,FZJcX63a5Pw7PhRSjv,14,24-387-817-9149,4293.76,HOUSEHOLD,ithely quickly regular sheaves. fluffily final waters affix carefully silent pinto beans. theod
3047,247,O,39892.35,1997-03-21,1-URGENT,Clerk#000000962,0,"s must nag carefully special foxes. blithe, ironic ideas",247,Customer#000000247,eSAW4XaakYFj2WToKU,20,30-151-905-3513,8495.92,HOUSEHOLD,"tes nag according to the blithe, even packages. sometimes unusual packages integrate"
3107,254,O,157543.64,1997-08-21,1-URGENT,Clerk#000000669,0,lly silent asymptotes u,254,Customer#000000254,xa0BmteaQlLhsgW8hYMq,1,11-451-622-6325,1915.35,MACHINERY,pending theodolites cajole slyly ironic deposits; slyly
3108,844,F,75046.18,1993-08-05,1-URGENT,Clerk#000000574,0,"at the accounts. ironic, speci",844,Customer#000000844,",D6sH jRj8,zbqkgvniCFRim8JwfMmKZpwtuDH6",11,21-285-410-4046,2954.9,BUILDING,totes wake permanently sometimes ironic packages. slyly regular packages sleep furiously 
3141,253,O,161595.67,1995-11-10,1-URGENT,Clerk#000000475,0,y bold theodolites. quickly pending theodolites integrate c,253,Customer#000000253,EQktiablbjsm,15,25-461-140-9884,9139.52,AUTOMOBILE,oach according to the silent packages. blithely even ideas haggle slyly blith
3170,43,O,292168.1,1997-11-09,1-URGENT,Clerk#000000288,0, sentiments cajole quick,43,Customer#000000043,Dx8PHkGSFJWLg3XtkzCX28iHRrQXbCRlN,19,29-316-665-2897,9904.28,MACHINERY,ronic pinto beans. packages sleep. furiously ruthless packages print blithely fluffily even platelets.
3200,122,O,178687.59,1996-02-07,1-URGENT,Clerk#000000020,0,tions lose. furiously ironic packages nod. slyly silent theo,122,Customer#000000122,uBVzFBCdNYVFqmd24XQUUv8L3rUJ7l,3,13-702-694-4520,7865.46,HOUSEHOLD,onic ideas across the ironic packages sleep requests. furiously pending pinto b
3204,88,F,44713.55,1992-12-26,1-URGENT,Clerk#000000693,0,iously final ideas about the slyly regular depo,88,Customer#000000088,wyGHpeRMt mxmd8fEelFiXMTHnVg3OL,16,26-516-273-2566,8031.44,AUTOMOBILE,ts. unusual foxes use excuses; final courts doubt special packages. furiously regular platelets abo
3207,205,O,184595.78,1998-02-16,1-URGENT,Clerk#000000695,0,e permanently pending theodol,205,Customer#000000205,"Ic7aplPrDJMpexX1fidUZ4CKfopc,v",12,22-356-437-1311,7161.52,BUILDING,"ully careful pinto beans according to the unusual, even accounts cajole across t"
3237,182,F,11628.02,1992-06-03,1-URGENT,Clerk#000000606,0,y regular ideas? carefully regular instructions alongside of t,182,Customer#000000182,zNvwKNBkXZVoo7jzeQlSb,3,13-199-211-9023,4810.22,AUTOMOBILE,ully enticing accounts are slyly. furiously final packages cajole. furiously unusual courts boost slyly. foxes
3270,379,O,240687.99,1997-05-28,1-URGENT,Clerk#000000375,0,somas sleep blithely reg,379,Customer#000000379,zXasoM0AZdQzJEHdi62,7,17-228-550-9246,5348.11,AUTOMOBILE,as against the furiously express deposits. regular requests cajole. final requests sleep platelets. s
3330,65,F,51302.83,1994-12-19,1-URGENT,Clerk#000000124,0,yly; carefully ironic theodolites across the fluffily regular,65,Customer#000000065,"ak7rtta,tWG,jR,cTSXflW6RVQ3alna3P4Q,zF03",23,33-733-623-5267,8795.16,AUTOMOBILE,"ironic courts sleep slyly above the ironic, bold accounts. blithely"
3364,448,O,157350.59,1997-06-21,1-URGENT,Clerk#000000280,0,the dependencies. furiously,448,Customer#000000448,"qjWwyEnBQPH,dKCldh4xXc63DJNLh",24,34-985-422-6009,8117.27,BUILDING,"cingly. accounts cajole furiously pending, even platelets. furiously fluffy packages sleep. asympt"
3366,508,O,17060.87,1997-05-18,1-URGENT,Clerk#000000160,0,hely ironic requests wake slyly iron,508,Customer#000000508,BR5ARsD7 6xu,18,28-344-250-3166,1685.9,BUILDING,"en courts. carefully final packages sleep against the slyly regular pinto beans. final, final accounts detect qu"
